,name,salary,employer,info,site
67,Senior Backend Developer (Python),"{'a_min_salary': 3500, 'b_max_salary': None, 'x_currency': 'USD'}",Lifestyle Production Group,https://hh.ru/vacancy/49630777?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
68,Python Developer,"{'a_min_salary': None, 'b_max_salary': 350000, 'x_currency': 'руб'}",Human Line,https://hh.ru/vacancy/49648605?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
69,Инженер - программист 2 категории PYTHON (MIDDLE PYTHON),"{'a_min_salary': 100000, 'b_max_salary': None, 'x_currency': 'руб'}","АО Моринформсистема-Агат, Концерн",https://hh.ru/vacancy/44317825?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
70,Junior data scientist,,Доценко Дарья,https://hh.ru/vacancy/48219194?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
71,Разработчик Python (parsing),"{'a_min_salary': None, 'b_max_salary': 1000, 'x_currency': 'EUR'}",ООО Globus.ai,https://hh.ru/vacancy/48968495?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
72,Python программист,,ООО Авантренд,https://hh.ru/vacancy/49244476?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
73,Python-developer,"{'a_min_salary': 1000, 'b_max_salary': 2000, 'x_currency': 'USD'}",ИП Черкасов Константин Юрьевич,https://hh.ru/vacancy/48070138?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
74,Python-разработчик,,Сбер. IT,https://hh.ru/vacancy/46558794?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
75,Senior Python-разработчик,"{'a_min_salary': 300000, 'b_max_salary': None, 'x_currency': 'руб'}",FINPAY,https://hh.ru/vacancy/49121112?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
76,Data Engineer (Python) в команду Cometa,,Райффайзенбанк,https://hh.ru/vacancy/49635388?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
77,Python Backend разработчик,"{'a_min_salary': 80000, 'b_max_salary': None, 'x_currency': 'руб'}",ООО Авантренд,https://hh.ru/vacancy/49244465?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
78,Python-teamlead,"{'a_min_salary': 200000, 'b_max_salary': None, 'x_currency': 'руб'}",Онлайн-школа Тетрика,https://hh.ru/vacancy/45113218?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
79,Data scientist,"{'a_min_salary': 160000, 'b_max_salary': None, 'x_currency': 'руб'}",ООО Mind&Machine,https://hh.ru/vacancy/48720041?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
80,Ведущий Python-разработчик,"{'a_min_salary': 70000, 'b_max_salary': 200000, 'x_currency': 'руб'}",ООО ИндексБокс,https://hh.ru/vacancy/48395103?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
81,Python-разработчик,,Marilyn System Russia,https://hh.ru/vacancy/49666076?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
82,Разработчик Python (искусственный интеллект),,Корпорация ЭЛАР,https://hh.ru/vacancy/48851241?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
83,Программист Python,"{'a_min_salary': 50000, 'b_max_salary': 200000, 'x_currency': 'руб'}",ООО Электронная медицина,https://hh.ru/vacancy/49488972?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
84,Backend разработчик Python,"{'a_min_salary': 140000, 'b_max_salary': None, 'x_currency': 'руб'}",ООО Монитор Софт,https://hh.ru/vacancy/48751058?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
85,Программист Python,,Сбер. IT,https://hh.ru/vacancy/49300341?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=4
